"Time"	"Temperature  (*C)"	"Temperature  (*F)"	"A-D  (1-255)"
34948.7489005	16.08	60.96	123
34948.7697338	16.40	61.53	121
34948.7905671	16.24	61.24	122
34948.8114005	14.65	58.38	132
34948.8322338	14.49	58.10	133
34948.8530671	13.87	56.98	137
34948.8739005	13.57	56.43	139
34948.8947338	13.57	56.43	139
34948.9155671	12.79	55.04	144
34948.9364005	13.87	56.98	137
34948.9572338	14.81	58.67	131
34948.9780671	14.03	57.26	136
34948.9989005	14.81	58.67	131
34949.0197338	14.49	58.10	133
34949.0405671	14.81	58.67	131
34949.0614005	14.49	58.10	133
34949.0822338	14.49	58.10	133
34949.1030671	14.49	58.10	133
34949.1239005	15.28	59.52	128
34949.1447338	14.97	58.95	130
34949.1655671	16.08	60.96	123
34949.1864005	16.72	62.10	119
34949.2072338	18.00	64.41	111
34949.2280671	16.08	60.96	123
34949.2489005	15.61	60.10	126
34949.2697338	15.13	59.24	129
34949.2905671	16.08	60.96	123
34949.3114005	16.24	61.24	122
34949.3322338	14.49	58.10	133
34949.3530671	14.03	57.26	136
34949.3739005	13.26	55.88	141
34949.3947338	12.95	55.32	143
34949.4155671	12.79	55.04	144
34949.4364005	13.87	56.98	137
34949.4572338	13.41	56.15	140
34949.4780671	13.57	56.43	139
34949.4989005	14.18	57.54	135
34949.5197338	13.57	56.43	139
34949.5405671	13.87	56.98	137
34949.5614005	13.41	56.15	140
34949.5822338	14.34	57.82	134
34949.6030671	13.72	56.71	138
34949.6239005	14.81	58.67	131
34949.6447338	14.65	58.38	132
34949.6655671	14.97	58.95	130
34949.6864005	14.97	58.95	130
34949.7072338	16.88	62.39	118
34949.7280671	16.08	60.96	123
34949.7489005	16.08	60.96	123
34949.7697338	15.44	59.81	127
34949.7905671	15.28	59.52	128
34949.8114005	14.49	58.10	133
34949.8322338	13.26	55.88	141
34949.8530671	12.48	54.48	146
34949.8739005	12.32	54.19	147
34949.8947338	12.01	53.63	149
34949.9155671	11.70	53.07	151
34949.9364005	12.01	53.63	149
34949.9572338	12.32	54.19	147
34949.9780671	12.48	54.48	146
34949.9989005	12.48	54.48	146
34950.0197338	12.79	55.04	144
34950.0405671	12.95	55.32	143
34950.0614005	13.57	56.43	139
34950.0822338	14.03	57.26	136
34950.1030671	13.26	55.88	141
34950.1239005	14.97	58.95	130
34950.1447338	13.72	56.71	138
34950.1655671	14.49	58.10	133
34950.1864005	14.49	58.10	133
34950.2072338	15.76	60.38	125
34950.2280671	15.76	60.38	125
34950.2489005	16.08	60.96	123
34950.2697338	16.08	60.96	123
34950.2905671	16.24	61.24	122
34950.3114005	14.18	57.54	135
34950.3322338	14.34	57.82	134
34950.3530671	13.72	56.71	138
34950.3739005	13.41	56.15	140
34950.3947338	12.79	55.04	144
