MM,DD,YY,HRI_AverageTemp,HRI_MaxTemp,HRI_TempDifference,Samples_per_day
1,22,2012,4.980291666666667,5.231,0.25070833333333287,48
1,22,2013,5.538104166666667,6.102,0.5638958333333335,48
1,22,2014,3.9175625,4.194,0.2764375000000001,48
1,22,2015,4.806479166666667,4.921,0.11452083333333363,48
1,22,2016,4.9596875,5.076,0.11631249999999937,48
1,23,2000,2.9091666666666667,3.48,0.5708333333333333,48
1,23,2002,5.215416666666667,5.44,0.22458333333333336,48
1,23,2005,3.2714583333333334,3.83,0.5585416666666667,48
1,23,2008,4.362708333333333,4.84,0.4772916666666669,48
1,23,2009,2.9203333333333332,3.009,0.08866666666666667,48
1,23,2010,3.3691666666666666,3.71,0.3408333333333333,48
1,23,2012,5.3563125,5.616,0.25968750000000007,48
1,23,2013,4.869354166666667,4.999,0.12964583333333302,48
1,23,2014,3.8818125,4.089,0.2071875000000003,48
1,23,2015,4.698291666666667,4.818,0.11970833333333264,48
1,23,2016,5.506895833333333,6.128,0.621104166666667,48
1,24,2000,3.4341666666666666,3.8,0.36583333333333323,48
1,24,2002,5.308333333333334,5.44,0.13166666666666682,48
1,24,2005,3.1566666666666667,3.52,0.3633333333333333,48
1,24,2008,4.380833333333333,4.84,0.4591666666666665,48
1,24,2009,2.72725,2.983,0.2557499999999999,48
1,24,2010,3.36375,3.42,0.05624999999999991,48
1,24,2012,5.69575,6,0.3042499999999997,48
1,24,2013,4.041291666666667,4.766,0.7247083333333331,48
1,24,2014,3.5864583333333333,4.037,0.4505416666666666,48
1,24,2015,4.52225,4.844,0.32175000000000065,48
1,24,2016,5.5130625,5.796,0.28293750000000006,48
1,25,2000,3.155625,3.64,0.484375,48
1,25,2002,5.0562499999999995,5.44,0.3837500000000009,48
1,25,2005,2.95,3.52,0.5699999999999998,48
1,25,2008,4.235833333333333,4.55,0.3141666666666669,48
1,25,2009,2.619875,3.512,0.8921250000000001,48
1,25,2010,3.4683333333333333,3.71,0.2416666666666667,48
1,25,2012,5.903875,6.408,0.5041250000000002,48
1,25,2013,3.6181666666666668,4.298,0.6798333333333333,48
1,25,2014,3.3853333333333335,3.433,0.0476666666666663,48
1,25,2015,4.4734791666666665,4.818,0.34452083333333317,48
1,25,2016,5.428041666666666,5.539,0.11095833333333349,48
1,26,2000,3.2360416666666665,3.48,0.2439583333333335,48
1,26,2002,5.146458333333333,5.6,0.4535416666666663,48
1,26,2005,2.537291666666667,2.72,0.18270833333333325,48
1,26,2008,3.8914583333333335,3.97,0.07854166666666673,48
1,26,2009,3.357666666666667,3.564,0.20633333333333326,48
1,26,2010,3.6616666666666666,3.71,0.04833333333333334,48
1,26,2012,5.630083333333333,6.281,0.6509166666666664,48
1,26,2013,3.9507291666666666,4.714,0.7632708333333338,48
1,26,2014,3.4825208333333335,3.985,0.5024791666666664,48
1,26,2015,3.98525,4.298,0.31274999999999986,48
1,26,2016,5.454854166666666,5.642,0.187145833333334,48
1,27,2000,3.2333333333333334,3.33,0.09666666666666668,48
1,27,2002,5.284583333333334,5.44,0.15541666666666654,48
1,27,2005,2.9102083333333333,3.36,0.4497916666666666,48
1,27,2008,3.97,3.97,0,48
1,27,2009,2.659104166666667,3.142,0.4828958333333331,48
1,27,2010,3.685833333333333,3.71,0.02416666666666689,48
1,27,2012,5.591583333333333,6,0.40841666666666665,48
1,27,2013,4.445833333333334,4.74,0.29416666666666647,48
1,27,2014,2.8105416666666665,3.142,0.3314583333333334,48
1,27,2015,4.469708333333333,4.818,0.34829166666666644,48
1,27,2016,5.427666666666667,5.591,0.1633333333333331,48
1,28,2000,2.8847916666666666,3.17,0.2852083333333333,48
1,28,2002,5.336666666666667,5.6,0.26333333333333275,48
1,28,2005,2.6333333333333333,3.04,0.40666666666666673,48
1,28,2008,3.8914583333333335,3.97,0.07854166666666673,48
1,28,2009,2.8874375,3.195,0.30756249999999996,48
1,28,2010,3.6133333333333333,3.71,0.09666666666666668,48
1,28,2012,5.711104166666667,6.179,0.4678958333333334,48
1,28,2013,4.442083333333334,4.61,0.16791666666666671,48
1,28,2014,2.5669583333333335,3.301,0.7340416666666667,48
1,28,2015,4.474583333333333,4.636,0.16141666666666676,48
1,28,2016,5.144791666666666,5.488,0.343208333333334,48
1,29,2000,2.0052083333333335,2.38,0.3747916666666664,48
1,29,2002,5.473333333333334,5.6,0.12666666666666604,48
1,29,2005,2.492916666666667,2.88,0.387083333333333,48
1,29,2008,3.7102083333333336,3.97,0.25979166666666664,48
1,29,2009,2.8943333333333334,3.168,0.2736666666666667,48
1,29,2010,3.4074999999999998,3.42,0.012500000000000178,48
1,29,2012,5.9074375,6.255,0.34756249999999955,48
1,29,2013,4.511958333333333,4.714,0.20204166666666712,48
1,29,2014,3.162375,3.406,0.2436250000000002,48
1,29,2015,4.234583333333333,4.298,0.0634166666666669,48
1,29,2016,5.041083333333333,5.308,0.2669166666666669,48
1,30,2000,1.3460416666666668,1.74,0.3939583333333332,48
1,30,2002,5.43,5.6,0.16999999999999993,48
